,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
56,PV,CASSOLNOVO,PO0180350U0002,2017-05-24,117.58,soggiacenza statica,5.92,111.66,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PV,CASSOLNOVO,PO0180350U0002,2017-08-09,117.58,soggiacenza statica,3.8,113.78,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PV,CASSOLNOVO,PO0180350U0002,2017-11-23,117.58,soggiacenza statica,7.44,110.14,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PV,CASSOLNOVO,PO0180350U0002,2018-02-16,117.58,soggiacenza statica,7.25,110.33,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PV,CASSOLNOVO,PO0180350U0002,2018-05-17,117.58,soggiacenza statica,5.75,111.83,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PV,CASSOLNOVO,PO0180350U0002,2018-06-25,117.58,soggiacenza statica,5.0,112.58,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PV,CASSOLNOVO,PO0180350U0002,2018-07-24,117.58,soggiacenza statica,4.14,113.44,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PV,CASSOLNOVO,PO0180350U0002,2018-08-22,117.58,soggiacenza statica,4.2,113.38,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PV,CASSOLNOVO,PO0180350U0002,2018-10-25,117.58,soggiacenza statica,6.6,110.98,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PV,CASSOLNOVO,PO0180350U0002,2018-11-28,117.58,soggiacenza statica,7.5,110.08,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
