PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02
CR,PIADENA,19071.0003,via Bassa,1607835.25,4998399.5,34,,X,3,,,,,,,,,,,34,34,34,34.51,34.51,34.51,34.51,34.51,34.51,,,,,,
CR,PIZZIGHETTONE,19076.0006,via Stadio,1562536.875,5004476.5,46,,X,3,,,,,,,,,,,44.41,44.36,44.29,44,44.22,44.01,43.94,43.98,43.93,,,,,,
CR,POZZAGLIO,19077.0001,via bongiovanni,1582847,5005656,50,,X,3,,,,,,,,,,,37.57,37.62,37.62,37.56,37.38,37.46,37.23,37.62,37.67,,,,,,
CR,RIPALTA ARPINA,19080.0002,via Capitani,1557143.875,5016713.5,65,,X,3,,,,,,,,,,,57.26,57.26,57.12,,,56.85,,,,,,,,,
CR,RIPALTA CREMASCA,19081.0002,Loc. Zappello,1554044,5020362,76,,X,1,,,,,,,,,,,67.41,67.41,67.25,,,67.06,,,,,,,,,
CR,ROMANENGO,19086.0005,via XX Settembre,1561466.875,5025607.5,82,,X,3,,,,,,,,,,,82,82,82,,,82.47,,,,,,,,,
CR,SAN BASSANO ,19088.0003,p.zza Kennedy,1563511.125,5010176,58,,X,3,,,,,,,,,,,46.83,46.76,46.73,,,46.3,,,,,,,,,
CR,SAN DANIELE PO,19089.0002,via XXV Aprile,1592744.125,4990492.5,35,,X,3,,,,,,,,,,,32.04,31.99,31.97,,,31.81,,,,,,,,,
CR,SAN GIOVANNI IN CROCE,19090.0001,via Busi,1608405,4992581.5,26,,X,3,,,,,,,,,,,24.02,24.01,24.06,,,23.97,,,,,,,,,
CR,SCANDOLARA RAVARA,19092.0004,via Chiesa,1602689.75,4989718.5,30,,X,2,,,,,,,,,,,26.47,26.48,26.42,26.22,26.01,26.63,25.79,26.97,27.12,,,,,,
CR,SERGNANO,19094.0004,via Vallarsa,1554757,5030594,85,,X,1,,,,,,,,,,,81.03,81.02,80.88,80.87,80.88,80.93,80.82,81.14,81.12,,,,,,
CR,SPINEDA,19101.0002,via Circonvallazione,1619319.75,4990670,24,,X,3,,,,,,,,,,,24,24,24,24.4,24.4,24.4,24.4,23.83,23.81,,,,,,
CR,TORNATA,19106.0003,via della Pace,1612703.125,4995678,29,,X,3,,,,,,,,,,,24.46,24.6,24.5,,,24.62,,,,,,,,,
CR,VAILATE,19112.0003,via Carducci,1547462.5,5034885,102,,X,2,,,,,,,,,,,97.58,97.07,97.26,,,96.24,,,,,,,,,
LC,CASATENOVO,PI097016101,MAGGIONI (EX PIRROTTA),1524964,5058591,294.1,,X,2,,,,,,,248.99,249.51,248.28,248.78,248.71,248.68,248.3,247.32,248.6,249.2,248.82,250.28,250.73,250.23,250.81,251.55,,,
LC,CERNUSCO LOMBARDONE,PC097020003,VILLA,1530522,5059523,248,,X,2,,,,,,,,,229.29,228.48,227.69,226.99,226.17,224.85,226.87,230.6,229.55,231.79,232.51,232.15,232.48,234.18,,,
LC,IMBERSAGO,PC097039001,ROBBIATE1- via dei Mulini,1535411,5060791,198,,X,2,,,,,,,,,193.5,193.55,193.73,193.51,193.28,193.12,193.25,192.7,193.2,193.45,193.5,192.95,193.68,194.66,,,
LC,IMBERSAGO,PC097039003,PONTICELLO- Strada Alzaia,1534898,5062596,196,,X,2,,,,,,,,,194.9,196.2,194.8,,195.8,192.42,193.29,193.14,193.19,193.6,193.34,193.15,193.36,193.48,,,
LC,MERATE,PC097048001,REGONDINO,1531012,5061302,266,,X,2,,,,,,,,,235.27,237.76,237.66,238,237.01,236.29,240.26,239.93,238.06,241.19,239.24,239.68,239.64,241.16,,,
LC,MISSAGLIA,PI097049101,BRIVIO,1528143,5059731,274.5,,X,2,,,,,,,251.11,250.99,250.75,251.37,251.79,251.23,250.85,250.66,252.13,251.4,251.3,249.7,251.15,250.9,251.7,252.6,,,
LC,OSNAGO,PC097061011,STATALE -via Statale,1530797,5057843,246,,X, 2/3,,,,,,,,,223.31,222.59,222.07,221.03,220.26,219.39,221.86,223.32,222.76,225.08,224.72,225.57,225.37,226.98,,,
